Player,height,weight,college,born,birth_city,birth_state,Geo_code,Latitude,Longitude
Pete Brennan,198,92,University of North Carolina,1936,Brooklyn,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Archie Dees,203,92,Indiana University,1936,Ethel,Mississippi,"32.3546679, -89.3985283",32.3546679,-89.3985283
Mike Farmer,201,95,University of San Francisco,1936,Oklahoma City,Oklahoma,"35.4675602, -97.5164276",35.4675602,-97.5164276
Steve Hamilton,198,86,Morehead State University,1935,Columbia,Kentucky,"37.8393332, -84.2700179",37.8393332,-84.2700179
Vern Hatton,190,88,University of Kentucky,1936,Owingsville,Kentucky,"37.8393332, -84.2700179",37.8393332,-84.2700179
Jim Palmer,203,101,University of Dayton,1933,Keokee,Virginia,"37.4315734, -78.6568942",37.4315734,-78.6568942
Bob Anderegg,190,90,Michigan State University,1937,Monroe,Wisconsin,"43.7844397, -88.7878678",43.7844397,-88.7878678
Tom Hawkins,196,95,University of Notre Dame,1936,Chicago,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Joe Ruklick,206,99,Northwestern University,1938,Princeton,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Al Attles,183,79,North Carolina Agricultural and Technical State University,1936,Newark,New Jersey,"40.0583238, -74.4056612",40.0583238,-74.4056612
Dave Budd,198,92,Wake Forest University,1938,Woodbury,New Jersey,"40.0583238, -74.4056612",40.0583238,-74.4056612
Ralph Davis,193,81,University of Cincinnati,1938,Vanceburg,Kentucky,"37.8393332, -84.2700179",37.8393332,-84.2700179
Darrall Imhoff,208,99,University of California,1938,San Gabriel,California,"36.778261, -119.4179324",36.778261,-119.4179324
Pickles Kennedy,180,81,Temple University,1938,Philadelphia,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Don Ohl,190,86,University of Illinois at Urbana-Champaign,1936,Murphysboro,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Tom Sanders*,198,95,New York University,1938,New York,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Lenny Wilkens*,185,81,Providence College,1937,Brooklyn,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Al Butler,188,79,Niagara University,1938,Rochester,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Jimmy Darrow,178,77,Bowling Green State University,1937,Akron,Ohio,"40.4172871, -82.90712300000001",40.4172871,-82.907123
Cleo Hill,185,83,Winston-Salem State University,1938,Newark,New Jersey,"40.0583238, -74.4056612",40.0583238,-74.4056612
Tom Meschery,198,97,Saint Mary's College of California,1938,Harbin Manchuria,China,"35.86166, 104.195397",35.86166,104.195397
Bevo Nordmann,208,102,Saint Louis University,1939,St. Louis,Missouri,"37.9642529, -91.8318334",37.9642529,-91.8318334
Ray Scott,206,97,University of Portland,1938,Philadelphia,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Horace Walker,190,95,Michigan State University,1937,Chester,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Don Nelson*,198,95,University of Iowa,1940,Muskegon,Michigan,"44.3148443, -85.60236429999999",44.3148443,-85.6023643
Mel Gibson,190,81,Western Carolina University,1940,Cordova,North Carolina,"35.7595731, -79.01929969999999",35.7595731,-79.0192997
Tom Hoover,206,104,Villanova University,1941,Washington,District of Columbia,"38.9071923, -77.0368707",38.9071923,-77.0368707
Gus Johnson*,198,104,University of Idaho,1938,Akron,Ohio,"40.4172871, -82.90712300000001",40.4172871,-82.907123
Nate Thurmond*,211,102,Bowling Green State University,1941,Akron,Ohio,"40.4172871, -82.90712300000001",40.4172871,-82.907123
Jim Barnes,203,95,University of Texas at El Paso,1941,Tuckerman,Arkansas,"35.20105, -91.8318334",35.20105,-91.8318334
Ron Bonham,196,87,University of Cincinnati,1942,Muncie,Indiana,"40.2671941, -86.1349019",40.2671941,-86.1349019
Em Bryant,185,79,DePaul University,1938,Chicago,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Mel Counts,213,104,Oregon State University,1941,Coos Bay,Oregon,"43.8041334, -120.5542012",43.8041334,-120.5542012
Les Hunter,201,95,Loyola University of Chicago,1942,Nashville,Tennessee,"35.5174913, -86.5804473",35.5174913,-86.5804473
Howard Komives,185,83,Bowling Green State University,1941,Toledo,Ohio,"40.4172871, -82.90712300000001",40.4172871,-82.907123
Barry Kramer,193,90,New York University,1942,Schenectady,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
John Thompson*,208,102,Providence College,1941,Washington,District of Columbia,"38.9071923, -77.0368707",38.9071923,-77.0368707
Jesse Branson,201,88,Elon University,1942,Burlington,North Carolina,"35.7595731, -79.01929969999999",35.7595731,-79.0192997
Keith Erickson,196,88,"University of California, Los Angeles",1944,San Francisco,California,"36.778261, -119.4179324",36.778261,-119.4179324
John Fairchild,203,92,Brigham Young University,1943,Encinitas,California,"36.778261, -119.4179324",36.778261,-119.4179324
Thales McReynolds,190,83,Miles College,1943,Birmingham,Alabama,"32.3182314, -86.902298",32.3182314,-86.902298
Jerry Sloan*,196,88,University of Evansville,1942,McLeansboro,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Bob Warlick,196,90,Pepperdine University,1941,Hickory,North Carolina,"35.7595731, -79.01929969999999",35.7595731,-79.0192997
Jim Washington,198,95,Villanova University,1943,Philadelphia,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Bob Weiss,188,81,Pennsylvania State University,1942,Easton,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
John Block,206,93,University of Southern California,1944,Los Angeles,California,"36.778261, -119.4179324",36.778261,-119.4179324
Nate Bowman,208,104,Wichita State University,1943,Fort Worth,Texas,"31.9685988, -99.9018131",31.9685988,-99.9018131
Dave Deutsch,185,77,University of Rochester,1945,Brooklyn,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Bob Love,203,97,Southern University and A&M College,1942,Bastrop,Louisiana,"30.9842977, -91.96233269999999",30.9842977,-91.9623327
Jim Ware,201,95,Oklahoma City University,1944,Natchez,Mississippi,"32.3546679, -89.3985283",32.3546679,-89.3985283
Sonny Dove,201,89,St. John's University,1945,Brooklyn,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Jim Fox,208,104,University of South Carolina,1943,Atlanta,Georgia,"32.1656221, -82.9000751",32.1656221,-82.9000751
Johnny Jones,201,92,"California State University, Los Angeles",1943,Washington,District of Columbia,"38.9071923, -77.0368707",38.9071923,-77.0368707
George Lehmann,183,81,Campbell University,1942,Riverside,New Jersey,"40.0583238, -74.4056612",40.0583238,-74.4056612
Paul Long,188,81,Wake Forest University,1944,Louisville,Kentucky,"37.8393332, -84.2700179",37.8393332,-84.2700179
Ed Manning,201,95,Jackson State University,1944,Summit,Mississippi,"32.3546679, -89.3985283",32.3546679,-89.3985283
Stan McKenzie,196,88,New York University,1944,Miami,Florida,"27.6648274, -81.5157535",27.6648274,-81.5157535
Earl Monroe*,190,83,Winston-Salem State University,1944,Philadelphia,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Pat Riley*,193,92,University of Kentucky,1945,Rome,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Ken Wilburn,198,88,Central State University,1944,River Rouge,Michigan,"44.3148443, -85.60236429999999",44.3148443,-85.6023643
Tom Boerwinkle,213,120,University of Tennessee,1945,Cleveland,Ohio,"40.4172871, -82.90712300000001",40.4172871,-82.907123
Dick Cunningham,208,111,Murray State University,1946,Canton,Ohio,"40.4172871, -82.90712300000001",40.4172871,-82.907123
Elvin Hayes*,206,106,University of Houston,1945,Rayville,Louisiana,"30.9842977, -91.96233269999999",30.9842977,-91.9623327
Bill Hosket,203,102,Ohio State University,1946,Dayton,Ohio,"40.4172871, -82.90712300000001",40.4172871,-82.907123
Don May,193,90,University of Dayton,1946,Dayton,Ohio,"40.4172871, -82.90712300000001",40.4172871,-82.907123
Otto Moore,211,92,University of Texas-Pan American,1946,Miami,Florida,"27.6648274, -81.5157535",27.6648274,-81.5157535
Rich Niemann,213,111,Saint Louis University,1946,St. Louis,Missouri,"37.9642529, -91.8318334",37.9642529,-91.8318334
Bob Quick,196,97,Xavier University,1946,Thornton,Mississippi,"32.3546679, -89.3985283",32.3546679,-89.3985283
Craig Raymond,211,106,Brigham Young University,1945,Aberdeen,Washington,"47.7510741, -120.7401385",47.7510741,-120.7401385
Kareem Abdul-Jabbar*,218,102,"University of California, Los Angeles",1947,New York,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Lucius Allen,188,79,"University of California, Los Angeles",1947,Kansas City,Kansas,"39.011902, -98.4842465",39.011902,-98.4842465
Johnny Baum,196,90,Temple University,1946,Philadelphia,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Butch Beard,190,83,University of Louisville,1947,Hardinsburg,Kentucky,"37.8393332, -84.2700179",37.8393332,-84.2700179
Herm Gilliam,190,86,Purdue University,1946,Winston-Salem,North Carolina,"35.7595731, -79.01929969999999",35.7595731,-79.0192997
Willie McCarter,190,79,Drake University,1946,Gary,Indiana,"40.2671941, -86.1349019",40.2671941,-86.1349019
Bob Portman,196,90,Creighton University,1947,San Francisco,California,"36.778261, -119.4179324",36.778261,-119.4179324
Luther Rackley,208,99,Xavier University,1946,Bainbridge,Georgia,"32.1656221, -82.9000751",32.1656221,-82.9000751
Lee Winfield,188,78,University of North Texas,1947,St. Louis,Missouri,"37.9642529, -91.8318334",37.9642529,-91.8318334
Bob Arnzen,196,92,University of Notre Dame,1947,Covington,Kentucky,"37.8393332, -84.2700179",37.8393332,-84.2700179
Dennis Awtrey,208,106,Santa Clara University,1948,Hollywood,California,"36.778261, -119.4179324",36.778261,-119.4179324
Spencer Haywood*,203,102,University of Detroit Mercy,1949,Silver City,Mississippi,"32.3546679, -89.3985283",32.3546679,-89.3985283
Gar Heard,198,99,University of Oklahoma,1948,Hogansville,Georgia,"32.1656221, -82.9000751",32.1656221,-82.9000751
John Johnson,201,90,University of Iowa,1947,Carthage,Mississippi,"32.3546679, -89.3985283",32.3546679,-89.3985283
Bob Lanier*,211,113,St. Bonaventure University,1948,Buffalo,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Rex Morgan,196,86,Jacksonville University,1948,Charleston,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Curtis Perry,201,99,Missouri State University,1948,Washington,District of Columbia,"38.9071923, -77.0368707",38.9071923,-77.0368707
Mike Silliman,198,102,United States Military Academy,1944,Louisville,Kentucky,"37.8393332, -84.2700179",37.8393332,-84.2700179
Garfield Smith,206,106,Eastern Kentucky University,1945,Campbellsville,Kentucky,"37.8393332, -84.2700179",37.8393332,-84.2700179
Fred Brown,190,82,University of Iowa,1948,Milwaukee,Wisconsin,"43.7844397, -88.7878678",43.7844397,-88.7878678
Phil Chenier,190,81,University of California,1950,Berkeley,California,"36.778261, -119.4179324",36.778261,-119.4179324
Mo Layton,185,81,University of Southern California,1948,Newark,New Jersey,"40.0583238, -74.4056612",40.0583238,-74.4056612
Stan Love,206,97,University of Oregon,1949,Los Angeles,California,"36.778261, -119.4179324",36.778261,-119.4179324
Mike Newlin,193,90,University of Utah,1949,Portland,Oregon,"43.8041334, -120.5542012",43.8041334,-120.5542012
Willie Norwood,201,99,Alcorn State University,1947,Carrolton,Mississippi,"32.3546679, -89.3985283",32.3546679,-89.3985283
Jackie Ridgle,193,88,University of California,1948,Altheimer,Arkansas,"35.20105, -91.8318334",35.20105,-91.8318334
Charlie Scott,196,79,University of North Carolina,1948,New York,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
